employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won,avg_training_score,is_promoted
65438,Sales & Marketing,region_7,Master's & above,f,sourcing,1,35,5,8,0,49,0
65141,Operations,region_22,Bachelor's,m,other,1,30,5,4,0,60,0
7513,Sales & Marketing,region_19,Bachelor's,m,sourcing,1,34,3,7,0,50,0
2542,Sales & Marketing,region_23,Bachelor's,m,other,2,39,1,10,0,50,0
48945,Technology,region_26,Bachelor's,m,other,1,45,3,2,0,73,0
58896,Analytics,region_2,Bachelor's,m,sourcing,2,31,3,7,0,85,0
20379,Operations,region_20,Bachelor's,f,other,1,31,3,5,0,59,0
16290,Operations,region_34,Master's & above,m,sourcing,1,33,3,6,0,63,0
73202,Analytics,region_20,Bachelor's,m,other,1,28,4,5,0,83,0
28911,Sales & Marketing,region_1,Master's & above,m,sourcing,1,32,5,5,0,54,0
29934,Technology,region_23,,m,sourcing,1,30,,1,0,77,0
49017,Sales & Marketing,region_7,Bachelor's,f,sourcing,1,35,5,3,0,50,1
60051,Sales & Marketing,region_4,Bachelor's,m,sourcing,1,49,5,5,0,49,0
38401,Technology,region_29,Master's & above,m,other,2,39,3,16,0,80,0
77040,R&D,region_2,Master's & above,m,sourcing,1,37,3,7,0,84,0
43931,Operations,region_7,Bachelor's,m,other,1,37,1,10,0,60,0
7152,Technology,region_2,Bachelor's,m,other,1,38,3,5,0,77,0
9403,Sales & Marketing,region_31,Bachelor's,m,other,1,34,1,4,0,51,0
17436,Sales & Marketing,region_31,Bachelor's,m,other,1,34,5,8,0,46,0
54461,Operations,region_15,Bachelor's,m,other,1,37,3,9,0,59,0
12067,Procurement,region_14,Bachelor's,m,other,1,35,3,7,0,75,0
33332,Operations,region_15,,m,sourcing,1,41,4,11,0,57,0
58789,Finance,region_11,Bachelor's,f,other,1,28,3,4,0,63,0
71177,Procurement,region_5,Bachelor's,m,other,1,27,,1,0,70,0
52057,Finance,region_22,Master's & above,m,sourcing,2,39,5,7,0,59,0
26585,Technology,region_22,Bachelor's,m,other,1,27,5,3,0,83,0
37749,Procurement,region_26,Bachelor's,m,other,1,31,5,4,0,68,0
2370,Technology,region_26,Bachelor's,m,other,1,33,4,4,0,79,0
8219,Analytics,region_5,Bachelor's,m,other,1,29,5,3,0,80,0
74759,Sales & Marketing,region_4,Bachelor's,m,sourcing,1,26,,1,0,44,0
27395,Procurement,region_15,Bachelor's,m,sourcing,1,37,5,10,0,72,0
58536,Finance,region_31,Bachelor's,m,other,2,26,1,2,0,,0
35465,Sales & Marketing,region_7,,f,sourcing,1,24,1,2,0,48,0
51756,Operations,region_2,Bachelor's,m,sourcing,2,57,4,6,0,58,0
57011,Analytics,region_22,Bachelor's,m,other,2,27,5,3,0,87,0
77064,Sales & Marketing,region_22,Bachelor's,m,other,1,40,2,4,0,47,0
64062,Technology,region_28,Bachelor's,m,sourcing,1,33,4,4,0,75,0
47123,Sales & Marketing,region_7,Bachelor's,f,sourcing,1,40,5,3,0,47,0
56275,Sales & Marketing,region_1,Master's & above,m,other,1,42,5,5,0,51,0
